p,largest_components
0.0,0.009999999999999998
0.00015015015015015014,0.015600000000000001
0.0003003003003003003,0.018199999999999997
0.0004504504504504504,0.0196
0.0006006006006006006,0.0218
0.0007507507507507507,0.022699999999999994
0.0009009009009009008,0.023399999999999994
0.001051051051051051,0.024399999999999998
0.0012012012012012011,0.0255
0.0013513513513513512,0.0269
0.0015015015015015015,0.0278
0.0016516516516516516,0.0291
0.0018018018018018016,0.0298
0.001951951951951952,0.030600000000000002
0.002102102102102102,0.0324
0.0022522522522522522,0.032799999999999996
0.0024024024024024023,0.034
0.0025525525525525524,0.035
0.0027027027027027024,0.0352
0.002852852852852853,0.036
0.003003003003003003,0.038200000000000005
0.003153153153153153,0.039799999999999995
0.003303303303303303,0.0409
0.003453453453453453,0.042699999999999995
0.0036036036036036032,0.04449999999999999
0.0037537537537537537,0.045599999999999995
0.003903903903903904,0.04819999999999999
0.004054054054054054,0.0512
0.004204204204204204,0.0527
0.004354354354354354,0.05430000000000001
0.0045045045045045045,0.05579999999999999
0.0046546546546546545,0.056900000000000006
0.004804804804804805,0.058699999999999995
0.004954954954954955,0.06009999999999999
0.005105105105105105,0.061900000000000004
0.005255255255255255,0.0629
0.005405405405405405,0.0644
0.005555555555555555,0.06590000000000001
0.005705705705705706,0.06940000000000002
0.005855855855855856,0.07190000000000002
0.006006006006006006,0.0754
0.006156156156156156,0.07760000000000002
0.006306306306306306,0.0806
0.006456456456456456,0.0834
0.006606606606606606,0.0855
0.006756756756756756,0.0877
0.006906906906906906,0.08869999999999999
0.007057057057057056,0.09159999999999999
0.0072072072072072065,0.09469999999999999
0.007357357357357357,0.09939999999999999
0.0075075075075075074,0.10169999999999998
0.0076576576576576575,0.1052
0.007807807807807808,0.10899999999999999
0.007957957957957958,0.11279999999999997
0.008108108108108109,0.11679999999999997
0.008258258258258258,0.1207
0.008408408408408409,0.1269
0.008558558558558558,0.13040000000000002
0.008708708708708709,0.13390000000000002
0.008858858858858858,0.1426
0.009009009009009009,0.15060000000000004
0.009159159159159158,0.15640000000000004
0.009309309309309309,0.16040000000000001
0.009459459459459458,0.1693
0.00960960960960961,0.17509999999999998
0.00975975975975976,0.18000000000000005
0.00990990990990991,0.18720000000000003
0.01006006006006006,0.19540000000000002
0.01021021021021021,0.20040000000000002
0.01036036036036036,0.21000000000000005
0.01051051051051051,0.21730000000000005
0.01066066066066066,0.22310000000000002
0.01081081081081081,0.2308
0.01096096096096096,0.23840000000000003
0.01111111111111111,0.24779999999999996
0.01126126126126126,0.25630000000000003
0.011411411411411412,0.2659000000000001
0.01156156156156156,0.27449999999999997
0.011711711711711712,0.287
0.011861861861861861,0.2997
0.012012012012012012,0.306
0.012162162162162161,0.3184
0.012312312312312312,0.33039999999999997
0.012462462462462461,0.3378
0.012612612612612612,0.3478
0.012762762762762761,0.3645999999999999
0.012912912912912912,0.37589999999999996
0.013063063063063063,0.3833999999999999
0.013213213213213212,0.39030000000000004
0.013363363363363363,0.40340000000000004
0.013513513513513513,0.4106
0.013663663663663663,0.4247000000000001
0.013813813813813813,0.43599999999999994
0.013963963963963964,0.4508
0.014114114114114113,0.4613999999999999
0.014264264264264264,0.47919999999999996
0.014414414414414413,0.48539999999999994
0.014564564564564564,0.4928
0.014714714714714715,0.5062000000000001
0.014864864864864864,0.5187000000000002
0.015015015015015015,0.5351
0.015165165165165164,0.5469
0.015315315315315315,0.56
0.015465465465465464,0.5677
0.015615615615615615,0.5759
0.015765765765765764,0.5837
0.015915915915915915,0.5922
0.016066066066066066,0.6003
0.016216216216216217,0.6107999999999999
0.016366366366366365,0.6205999999999999
0.016516516516516516,0.6286999999999999
0.016666666666666666,0.6405
0.016816816816816817,0.6481
0.016966966966966965,0.6591000000000001
0.017117117117117116,0.6635000000000001
0.017267267267267267,0.6686000000000001
0.017417417417417418,0.6766
0.017567567567567565,0.6858
0.017717717717717716,0.6931
0.017867867867867867,0.7022000000000002
0.018018018018018018,0.7091999999999998
0.01816816816816817,0.718
0.018318318318318316,0.7225
0.018468468468468467,0.7304
0.018618618618618618,0.7348
0.01876876876876877,0.7411
0.018918918918918916,0.7453999999999997
0.019069069069069067,0.7523000000000001
0.01921921921921922,0.7561
0.01936936936936937,0.7596999999999998
0.01951951951951952,0.7639999999999999
0.019669669669669668,0.7705000000000001
0.01981981981981982,0.7728
0.01996996996996997,0.7753
0.02012012012012012,0.7838
0.020270270270270268,0.7868999999999999
0.02042042042042042,0.7915000000000001
0.02057057057057057,0.7955999999999999
0.02072072072072072,0.7993999999999997
0.02087087087087087,0.8050999999999998
0.02102102102102102,0.8099999999999998
0.02117117117117117,0.8147999999999999
0.02132132132132132,0.8183999999999999
0.021471471471471472,0.8227999999999999
0.02162162162162162,0.8298999999999999
0.02177177177177177,0.8342999999999998
0.02192192192192192,0.8357999999999999
0.022072072072072072,0.8394999999999999
0.02222222222222222,0.8423999999999999
0.02237237237237237,0.8455999999999999
0.02252252252252252,0.8486999999999999
0.022672672672672672,0.8514999999999999
0.022822822822822823,0.8533999999999997
0.02297297297297297,0.8570000000000002
0.02312312312312312,0.8593000000000001
0.023273273273273273,0.863
0.023423423423423424,0.8647999999999999
0.02357357357357357,0.8672999999999998
0.023723723723723722,0.8694999999999999
0.023873873873873873,0.873
0.024024024024024024,0.8749000000000001
0.024174174174174175,0.8764
0.024324324324324322,0.8784000000000001
0.024474474474474473,0.8809999999999999
0.024624624624624624,0.8834000000000001
0.024774774774774775,0.8857000000000003
0.024924924924924922,0.8869
0.025075075075075073,0.8881999999999999
