p,mean_cluster_size
0.1,1.3333333333333333
0.12758620689655173,1.5666666666666667
0.15517241379310345,2.1666666666666665
0.1827586206896552,2.7333333333333334
0.21034482758620693,2.933333333333333
0.23793103448275865,3.3333333333333335
0.2655172413793104,4.433333333333334
0.2931034482758621,6.833333333333333
0.3206896551724138,7.7
0.34827586206896555,12.233333333333333
0.3758620689655173,14.133333333333333
0.403448275862069,25.133333333333333
0.4310344827586208,75.9
0.45862068965517244,267.5
0.4862068965517242,2273.7
0.5137931034482759,18842.933333333334
0.5413793103448277,25060.5
0.5689655172413793,33930.6
0.5965517241379311,35126.53333333333
0.6241379310344828,35877.066666666666
0.6517241379310346,37657.2
0.6793103448275862,39304.7
0.706896551724138,39558.833333333336
0.7344827586206897,39715.8
0.7620689655172415,39826.63333333333
0.7896551724137931,39894.76666666667
0.8172413793103449,39942.13333333333
0.8448275862068966,39970.2
0.8724137931034484,39986.066666666666
0.9,39994.3
