p,mean_cluster_size
0.1,2.8333333333333335
0.1310344827586207,2.6
0.16206896551724137,3.4
0.19310344827586207,5.3
0.22413793103448276,11.533333333333333
0.25517241379310346,29.333333333333332
0.28620689655172415,41.03333333333333
0.3172413793103448,184.5
0.34827586206896555,10553.533333333333
0.3793103448275862,27602.2
0.41034482758620694,33887.53333333333
0.4413793103448276,35266.3
0.4724137931034482,37309.2
0.503448275862069,37815.86666666667
0.5344827586206896,39422.23333333333
0.5655172413793104,38318.23333333333
0.596551724137931,39771.76666666667
0.6275862068965516,39858.6
0.6586206896551724,38586.23333333333
0.689655172413793,38619.6
0.7206896551724138,39972.433333333334
0.7517241379310344,39985.5
0.7827586206896552,39991.9
0.8137931034482758,39996.7
0.8448275862068965,39998.3
0.8758620689655172,39999.5
0.9068965517241379,39999.96666666667
0.9379310344827586,39999.9
0.9689655172413792,39999.96666666667
1.0,40000.0
