p,mean_cluster_size
0.1,1.9
0.11034482758620691,2.1
0.1206896551724138,2.2333333333333334
0.1310344827586207,3.1
0.1413793103448276,3.4
0.1517241379310345,5.2
0.1620689655172414,5.433333333333334
0.1724137931034483,5.833333333333333
0.1827586206896552,7.7
0.1931034482758621,11.8
0.20344827586206898,14.8
0.2137931034482759,23.233333333333334
0.2241379310344828,29.8
0.23448275862068968,51.93333333333333
0.24482758620689657,247.3
0.2551724137931035,2369.733333333333
0.2655172413793104,9000.766666666666
0.27586206896551724,14292.466666666667
0.28620689655172415,17159.766666666666
0.29655172413793107,20059.633333333335
0.306896551724138,24668.933333333334
0.3172413793103449,26199.566666666666
0.32758620689655177,27514.533333333333
0.33793103448275863,28621.733333333334
0.34827586206896555,30758.133333333335
0.35862068965517246,31566.033333333333
0.3689655172413794,32284.866666666665
0.3793103448275863,34167.63333333333
0.3896551724137931,34727.333333333336
0.4,35200.933333333334
